time,site_id,date_begin,date_end,agg_level,cluster_key,round,epoch,loss
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,1,0.6425244808197021
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,2,0.6119547486305237
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,3,0.5825638175010681
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,4,0.5543980002403259
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,5,0.5274590253829956
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,6,0.5017334222793579
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,7,0.4771883189678192
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,8,0.45378029346466064
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,9,0.4314623773097992
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,10,0.4101839065551758
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,11,0.38989657163619995
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,12,0.37055203318595886
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,13,0.35210782289505005
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,14,0.33452022075653076
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,15,0.3177476227283478
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,16,0.3017544150352478
2023-02-26,d34f66ce-a330-44f1-a8a6-b04e030ffff1,2023-02-26,2023-03-04,site,,1,17,0.2865052819252014
